"fecha","hora","dia_semana","num_viajes","tarifa_promedio","conductores_unicos"
"2026-06-01","0","2","4","49.94","4"
"2026-06-01","1","2","3","25.31","3"
"2026-06-01","2","2","5","48.01","4"
"2026-06-01","3","2","5","33.40","4"
"2026-06-01","4","2","3","42.11","3"
"2026-06-01","5","2","3","35.89","3"
"2026-06-01","6","2","4","50.69","4"
"2026-06-01","7","2","15","43.74","10"
"2026-06-01","8","2","13","42.44","8"
"2026-06-01","9","2","14","44.00","8"
"2026-06-01","10","2","9","38.52","5"
"2026-06-01","11","2","7","40.09","5"
"2026-06-01","12","2","11","43.63","9"
"2026-06-01","13","2","12","52.19","7"
"2026-06-01","14","2","9","33.02","6"
"2026-06-01","15","2","9","37.34","7"
"2026-06-01","16","2","11","34.23","6"
"2026-06-01","17","2","12","38.05","10"
"2026-06-01","18","2","14","46.96","8"
"2026-06-01","19","2","14","50.71","9"
"2026-06-01","20","2","8","43.67","7"
"2026-06-01","21","2","9","45.37","6"
"2026-06-01","22","2","11","36.82","7"
"2026-06-01","23","2","3","35.46","3"
"2026-06-02","0","3","3","39.96","3"
"2026-06-02","1","3","4","39.78","3"
"2026-06-02","3","3","3","42.06","3"
"2026-06-02","4","3","4","53.69","3"
"2026-06-02","5","3","2","34.94","2"
"2026-06-02","6","3","2","55.76","2"
"2026-06-02","7","3","15","45.22","7"
"2026-06-02","8","3","11","49.38","8"
"2026-06-02","9","3","14","52.37","10"
"2026-06-02","10","3","8","46.88","7"
"2026-06-02","11","3","7","40.12","5"
"2026-06-02","12","3","7","38.90","6"
"2026-06-02","13","3","8","45.43","8"
"2026-06-02","14","3","8","43.44","7"
"2026-06-02","15","3","10","45.77","7"
"2026-06-02","16","3","8","36.36","5"
"2026-06-02","17","3","13","46.98","9"
"2026-06-02","18","3","13","33.03","8"
"2026-06-02","19","3","12","38.43","8"
"2026-06-02","20","3","8","50.14","7"
"2026-06-02","21","3","7","46.38","6"
"2026-06-02","22","3","6","48.05","5"
"2026-06-02","23","3","3","56.75","3"
"2026-06-03","0","4","3","42.14","3"
"2026-06-03","1","4","4","23.58","4"
"2026-06-03","2","4","4","35.50","3"
"2026-06-03","3","4","4","63.84","4"
