"id_viaje","distancia_km","duracion_min","velocidad_kmh"
"1","36.49","46","47.60"
"2","20.78","39","31.97"
"4","10.31","23","26.90"
"5","30.12","58","31.16"
"6","26.08","32","48.90"
"7","4.59","8","34.43"
"9","3.95","5","47.40"
"10","21.20","47","27.06"
"11","28.95","46","37.76"
"12","13.53","23","35.30"
"13","40.34","56","43.22"
"14","14.13","17","49.87"
"15","23.49","38","37.09"
"16","14.82","24","37.05"
"17","3.89","5","46.68"
"18","27.89","54","30.99"
"19","6.84","12","34.20"
"20","27.41","42","39.16"
"21","5.18","7","44.40"
"23","26.52","37","43.01"
"24","8.55","19","27.00"
"25","11.67","17","41.19"
"26","29.42","55","32.09"
"27","25.12","46","32.77"
"28","32.78","46","42.76"
"29","29.71","38","46.91"
"30","13.96","22","38.07"
"31","8.02","10","48.12"
"32","5.20","12","26.00"
"33","13.09","28","28.05"
"34","13.78","22","37.58"
"35","33.70","46","43.96"
"36","29.23","57","30.77"
"37","24.16","48","30.20"
"38","24.73","35","42.39"
"39","37.38","49","45.77"
"40","27.09","39","41.68"
"41","8.96","17","31.62"
"42","35.78","47","45.68"
"43","29.41","44","40.10"
"44","19.29","37","31.28"
"45","7.33","9","48.87"
"46","23.18","33","42.15"
"47","5.13","10","30.78"
"48","24.53","34","43.29"
"49","30.27","46","39.48"
"51","20.75","43","28.95"
"52","21.21","38","33.49"
"54","28.64","53","32.42"
"55","28.54","49","34.95"
"56","8.17","16","30.64"
"57","35.31","53","39.97"
"58","8.01","11","43.69"
"59","21.69","27","48.20"
"60","9.46","22","25.80"
"61","19.66","38","31.04"
"62","4.28","7","36.69"
"63","27.78","35","47.62"
"64","39.65","55","43.25"
"65","20.19","40","30.29"
"66","32.83","46","42.82"
"67","16.59","23","43.28"
"68","25.69","41","37.60"
"70","12.07","23","31.49"
"71","14.02","26","32.35"
"72","15.11","19","47.72"
"73","8.19","14","35.10"
"74","35.71","51","42.01"
"75","30.36","46","39.60"
"76","3.84","5","46.08"
